10000000000,0.121,1.0050
100000000000,0.121,1.0050
1000000,0.121,1.0060
10000000,0.121,1.0060
100000000,0.121,1.0060
1000000000,0.121,1.0060
10000000000,0.121,1.0060
100000000000,0.121,1.0060
1000000,0.121,1.0070
10000000,0.121,1.0070
100000000,0.121,1.0070
1000000000,0.121,1.0070
10000000000,0.121,1.0070
100000000000,0.121,1.0070
1000000,0.121,1.0080
10000000,0.121,1.0080
100000000,0.121,1.0080
1000000000,0.121,1.0080
10000000000,0.121,1.0080
100000000000,0.121,1.0080
1000000,0.121,1.0090
10000000,0.121,1.0090
100000000,0.121,1.0090
1000000000,0.121,1.0090
10000000000,0.121,1.0090
100000000000,0.121,1.0090
1000000,0.121,1.0100
10000000,0.121,1.0100
100000000,0.121,1.0100
1000000000,0.121,1.0100
10000000000,0.121,1.0100
100000000000,0.121,1.0100
1000000,0.121,1.0010
10000000,0.121,1.0010
100000000,0.121,1.0010
1000000000,0.121,1.0010
10000000000,0.121,1.0010
100000000000,0.121,1.0010
1000000,0.121,1.0020
10000000,0.121,1.0020
100000000,0.121,1.0020
1000000000,0.121,1.0020
10000000000,0.121,1.0020
100000000000,0.121,1.0020
1000000,0.121,1.0030
10000000,0.121,1.0030
100000000,0.121,1.0030
1000000000,0.121,1.0030
10000000000,0.121,1.0030
100000000000,0.121,1.0030
1000000,0.121,1.0040
10000000,0.121,1.0040
100000000,0.121,1.0040
1000000000,0.121,1.0040
10000000000,0.121,1.0040
100000000000,0.121,1.0040
1000000,0.121,1.0050
10000000,0.121,1.0050
100000000,0.121,1.0050
1000000000,0.121,1.0050
10000000000,0.121,1.0050
100000000000,0.121,1.0050
1000000,0.121,1.0060
10000000,0.121,1.0060
100000000,0.121,1.0060
1000000000,0.121,1.0060
10000000000,0.121,1.0060
100000000000,0.121,1.0060
1000000,0.121,1.0070
10000000,0.121,1.0070
100000000,0.121,1.0070
1000000000,0.121,1.0070
10000000000,0.121,1.0070
100000000000,0.121,1.0070
1000000,0.121,1.0080
10000000,0.121,1.0080
100000000,0.121,1.0080
1000000000,0.121,1.0080
10000000000,0.121,1.0080
100000000000,0.121,1.0080
1000000,0.121,1.0090
10000000,0.121,1.0090
100000000,0.121,1.0090
1000000000,0.121,1.0090
10000000000,0.121,1.0090
100000000000,0.121,1.0090
1000000,0.121,1.0100
10000000,0.121,1.0100
100000000,0.121,1.0100
1000000000,0.121,1.0100
10000000000,0.121,1.0100
100000000000,0.121,1.0100
1000000,0.122,1.0010
10000000,0.122,1.0010
100000000,0.122,1.0010
1000000000,0.122,1.0010
10000000000,0.122,1.0010
100000000000,0.122,1.0010
1000000,0.122,1.0020
10000000,0.122,1.0020
100000000,0.122,1.0020
1000000000,0.122,1.0020
10000000000,0.122,1.0020
100000000000,0.122,1.0020
1000000,0.122,1.0030
10000000,0.122,1.0030
100000000,0.122,1.0030
1000000000,0.122,1.0030
10000000000,0.122,1.0030
100000000000,0.122,1.0030
1000000,0.122,1.0040
10000000,0.122,1.0040
100000000,0.122,1.0040
1000000000,0.122,1.0040
10000000000,0.122,1.0040
100000000000,0.122,1.0040
1000000,0.122,1.0050
10000000,0.122,1.0050
100000000,0.122,1.0050
1000000000,0.122,1.0050
10000000000,0.122,1.0050
100000000000,0.122,1.0050
1000000,0.122,1.0060
10000000,0.122,1.0060
100000000,0.122,1.0060
1000000000,0.122,1.0060
10000000000,0.122,1.0060
100000000000,0.122,1.0060
1000000,0.122,1.0070
10000000,0.122,1.0070
100000000,0.122,1.0070
1000000000,0.122,1.0070
10000000000,0.122,1.0070
100000000000,0.122,1.0070
1000000,0.122,1.0080
10000000,0.122,1.0080
100000000,0.122,1.0080
1000000000,0.122,1.0080
10000000000,0.122,1.0080
100000000000,0.122,1.0080
1000000,0.122,1.0090
10000000,0.122,1.0090
100000000,0.122,1.0090
1000000000,0.122,1.0090
10000000000,0.122,1.0090
100000000000,0.122,1.0090
1000000,0.122,1.0100
10000000,0.122,1.0100
100000000,0.122,1.0100
1000000000,0.122,1.0100
10000000000,0.122,1.0100
100000000000,0.122,1.0100
1000000,0.122,1.0010
10000000,0.122,1.0010
100000000,0.122,1.0010
1000000000,0.122,1.0010
10000000000,0.122,1.0010
100000000000,0.122,1.0010
1000000,0.122,1.0020
10000000,0.122,1.0020
100000000,0.122,1.0020
1000000000,0.122,1.0020
10000000000,0.122,1.0020
100000000000,0.122,1.0020
1000000,0.122,1.0030
10000000,0.122,1.0030
100000000,0.122,1.0030
1000000000,0.122,1.0030
10000000000,0.122,1.0030
100000000000,0.122,1.0030
1000000,0.122,1.0040
10000000,0.122,1.0040
100000000,0.122,1.0040
1000000000,0.122,1.0040
10000000000,0.122,1.0040
100000000000,0.122,1.0040
1000000,0.122,1.0050
10000000,0.122,1.0050
100000000,0.122,1.0050
1000000000,0.122,1.0050
10000000000,0.122,1.0050
100000000000,0.122,1.0050
1000000,0.122,1.0060
10000000,0.122,1.0060
100000000,0.122,1.0060
1000000000,0.122,1.0060
10000000000,0.122,1.0060
100000000000,0.122,1.0060
1000000,0.122,1.0070
10000000,0.122,1.0070
100000000,0.122,1.0070
1000000000,0.122,1.0070
10000000000,0.122,1.0070
100000000000,0.122,1.0070
1000000,0.122,1.0080
10000000,0.122,1.0080
100000000,0.122,1.0080
1000000000,0.122,1.0080
10000000000,0.122,1.0080
100000000000,0.122,1.0080
1000000,0.122,1.0090
10000000,0.122,1.0090
100000000,0.122,1.0090
1000000000,0.122,1.0090
10000000000,0.122,1.0090
100000000000,0.122,1.0090
1000000,0.122,1.0100
10000000,0.122,1.0100
100000000,0.122,1.0100
1000000000,0.122,1.0100
10000000000,0.122,1.0100
100000000000,0.122,1.0100
1000000,0.122,1.0010
10000000,0.122,1.0010
100000000,0.122,1.0010
1000000000,0.122,1.0010
10000000000,0.122,1.0010
100000000000,0.122,1.0010
1000000,0.122,1.0020
10000000,0.122,1.0020
100000000,0.122,1.0020
1000000000,0.122,1.0020
10000000000,0.122,1.0020
100000000000,0.122,1.0020
1000000,0.122,1.0030
10000000,0.122,1.0030
100000000,0.122,1.0030
1000000000,0.122,1.0030
10000000000,0.122,1.0030
100000000000,0.122,1.0030
1000000,0.122,1.0040
10000000,0.122,1.0040
100000000,0.122,1.0040
1000000000,0.122,1.0040
10000000000,0.122,1.0040
100000000000,0.122,1.0040
1000000,0.122,1.0050
10000000,0.122,1.0050
100000000,0.122,1.0050
1000000000,0.122,1.0050
10000000000,0.122,1.0050
100000000000,0.122,1.0050
1000000,0.122,1.0060
10000000,0.122,1.0060
100000000,0.122,1.0060
1000000000,0.122,1.0060
10000000000,0.122,1.0060
100000000000,0.122,1.0060
1000000,0.122,1.0070
10000000,0.122,1.0070
100000000,0.122,1.0070
1000000000,0.122,1.0070
10000000000,0.122,1.0070
100000000000,0.122,1.0070
1000000,0.122,1.0080
10000000,0.122,1.0080
100000000,0.122,1.0080
1000000000,0.122,1.0080
10000000000,0.122,1.0080
100000000000,0.122,1.0080
1000000,0.122,1.0090
10000000,0.122,1.0090
100000000,0.122,1.0090
1000000000,0.122,1.0090
10000000000,0.122,1.0090
100000000000,0.122,1.0090
1000000,0.122,1.0100
10000000,0.122,1.0100
100000000,0.122,1.0100
1000000000,0.122,1.0100
10000000000,0.122,1.0100
100000000000,0.122,1.0100
1000000,0.123,1.0010
10000000,0.123,1.0010
100000000,0.123,1.0010
1000000000,0.123,1.0010
10000000000,0.123,1.0010
100000000000,0.123,1.0010
1000000,0.123,1.0020
10000000,0.123,1.0020
100000000,0.123,1.0020
1000000000,0.123,1.0020
10000000000,0.123,1.0020
100000000000,0.123,1.0020
1000000,0.123,1.0030
10000000,0.123,1.0030
100000000,0.123,1.0030
1000000000,0.123,1.0030
10000000000,0.123,1.0030
100000000000,0.123,1.0030
1000000,0.123,1.0040
10000000,0.123,1.0040
100000000,0.123,1.0040
1000000000,0.123,1.0040
10000000000,0.123,1.0040
100000000000,0.123,1.0040
1000000,0.123,1.0050
10000000,0.123,1.0050
100000000,0.123,1.0050
1000000000,0.123,1.0050
10000000000,0.123,1.0050
100000000000,0.123,1.0050
1000000,0.123,1.0060
10000000,0.123,1.0060
100000000,0.123,1.0060
1000000000,0.123,1.0060
10000000000,0.123,1.0060
100000000000,0.123,1.0060
1000000,0.123,1.0070
10000000,0.123,1.0070
100000000,0.123,1.0070
1000000000,0.123,1.0070
10000000000,0.123,1.0070
100000000000,0.123,1.0070
1000000,0.123,1.0080
10000000,0.123,1.0080
100000000,0.123,1.0080
1000000000,0.123,1.0080
10000000000,0.123,1.0080
100000000000,0.123,1.0080
1000000,0.123,1.0090
10000000,0.123,1.0090
100000000,0.123,1.0090
1000000000,0.123,1.0090
10000000000,0.123,1.0090
100000000000,0.123,1.0090
1000000,0.123,1.0100
10000000,0.123,1.0100
100000000,0.123,1.0100
1000000000,0.123,1.0100
10000000000,0.123,1.0100
100000000000,0.123,1.0100
1000000,0.123,1.0010
10000000,0.123,1.0010
100000000,0.123,1.0010
1000000000,0.123,1.0010
10000000000,0.123,1.0010
100000000000,0.123,1.0010
1000000,0.123,1.0020
10000000,0.123,1.0020
100000000,0.123,1.0020
1000000000,0.123,1.0020
10000000000,0.123,1.0020
100000000000,0.123,1.0020
1000000,0.123,1.0030
10000000,0.123,1.0030
100000000,0.123,1.0030
1000000000,0.123,1.0030
10000000000,0.123,1.0030
100000000000,0.123,1.0030
1000000,0.123,1.0040
10000000,0.123,1.0040
100000000,0.123,1.0040
1000000000,0.123,1.0040
10000000000,0.123,1.0040
100000000000,0.123,1.0040
1000000,0.123,1.0050
10000000,0.123,1.0050
100000000,0.123,1.0050
1000000000,0.123,1.0050
10000000000,0.123,1.0050
100000000000,0.123,1.0050
1000000,0.123,1.0060
10000000,0.123,1.0060
100000000,0.123,1.0060
1000000000,0.123,1.0060
10000000000,0.123,1.0060
100000000000,0.123,1.0060
1000000,0.123,1.0070
10000000,0.123,1.0070
100000000,0.123,1.0070
1000000000,0.123,1.0070
10000000000,0.123,1.0070
100000000000,0.123,1.0070
1000000,0.123,1.0080
10000000,0.123,1.0080
100000000,0.123,1.0080
1000000000,0.123,1.0080
10000000000,0.123,1.0080
100000000000,0.123,1.0080
1000000,0.123,1.0090
10000000,0.123,1.0090
100000000,0.123,1.0090
1000000000,0.123,1.0090
10000000000,0.123,1.0090
100000000000,0.123,1.0090
1000000,0.123,1.0100
10000000,0.123,1.0100
100000000,0.123,1.0100
1000000000,0.123,1.0100
10000000000,0.123,1.0100
100000000000,0.123,1.0100
